,reserve,num_bids,num_com,milage,private_seller,num_highlights,num_equipment,num_modifications,num_known_flaws,num_service_history,num_other_items,num_owner_history,num_seller_notes,num_videos,sold,sentiment_score,year,make_model,title_status,end_bid,num_views,num_photos,make_BMW,model_M3,ecolor_beige,ecolor_black,ecolor_blue,ecolor_brown,ecolor_gray,ecolor_green,ecolor_orange,ecolor_purple,ecolor_red,ecolor_silver,ecolor_white,ecolor_yellow,icolor_beige,icolor_black,icolor_brown,icolor_gray,icolor_green,icolor_orange,icolor_red,icolor_silver,num_bidders
121,1,33,42,57000,0,6,13,12,8,3,5,1,2,1.0,0,0.1176470588235294,1998,BMW M3,1,24200,8688,229,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15
122,1,7,59,53500,0,5,13,1,7,0,6,1,0,2.0,0,-0.217391304347826,2008,BMW M3,1,27000,4330,95,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
123,0,67,62,106200,1,4,13,0,9,6,4,1,0,5.0,1,0.0357142857142857,2002,BMW M3,1,15750,14141,82,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26
124,1,35,17,95600,1,5,11,0,9,5,3,1,0,4.0,1,0.3846153846153846,1995,BMW M3,1,15500,10001,105,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14
125,1,8,33,196500,1,5,10,1,12,10,3,1,0,2.0,1,0.64,2005,BMW M3,1,19000,11170,128,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6
126,1,34,28,43800,1,6,14,3,5,5,4,1,0,2.0,1,0.2083333333333333,2008,BMW M3,1,26751,5125,109,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
127,1,6,69,36600,1,5,10,4,4,0,2,1,0,3.0,0,-0.0454545454545454,2002,BMW M3,1,30000,15345,118,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6
128,0,25,10,101500,1,5,10,1,8,7,5,1,2,4.0,1,0.2857142857142857,2008,BMW M3,1,18750,6629,108,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12
129,1,7,33,70400,1,5,5,19,2,0,7,1,2,4.0,0,0.3703703703703703,2009,BMW M3,1,19700,10656,72,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
130,1,18,32,69800,1,6,11,10,6,5,4,1,0,2.0,0,0.2692307692307692,2003,BMW M3,1,16500,6785,98,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10
131,1,9,34,165800,1,4,2,46,10,0,5,1,2,4.0,0,0.4814814814814814,1995,BMW M3,1,17000,10082,166,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5
132,1,40,41,59700,1,4,16,0,8,2,4,1,0,2.0,1,0.2222222222222222,2011,BMW M3,1,28750,7738,95,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15
133,0,52,45,130600,0,5,9,3,16,3,2,1,2,2.0,1,0.1627906976744186,2008,BMW M3,1,18300,9248,157,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,18
134,1,21,40,56000,1,6,10,5,6,8,10,1,0,5.0,0,0.3333333333333333,1995,BMW M3,1,20500,8244,168,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
135,1,45,46,74100,1,5,12,7,7,4,4,1,0,4.0,0,0.027027027027027,2004,BMW M3,1,20000,9516,77,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
136,1,39,42,68900,0,6,14,3,9,3,5,1,0,2.0,0,0.3428571428571428,2006,BMW M3,1,25750,9714,95,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,22
137,1,21,55,109400,1,6,15,16,15,7,6,1,0,5.0,0,0.1304347826086956,2005,BMW M3,1,17750,11300,135,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18
